,title,author,rank,isbn,weeks_on_list,dagger,published_date
9764,THE CELLIST,Daniel Silva,15,9780062834867,5,0,2021-08-29
9765,BLOODLESS,Douglas Preston and Lincoln Child,1,9781538736715,1,0,2021-09-05
9766,BILLY SUMMERS,Stephen King,2,9781982173616,3,0,2021-09-05
9767,COMPLICATIONS,Danielle Steel,3,9781984821508,1,0,2021-09-05
9768,THE NOISE,James Patterson and J.D. Barker,4,9780316499897,1,0,2021-09-05
9769,IT ENDS WITH US,Colleen Hoover,5,9781501110368,10,0,2021-09-05
9770,THE LAST THING HE TOLD ME,Laura Dave,6,9781501171369,16,0,2021-09-05
9771,PEOPLE WE MEET ON VACATION,Emily Henry,7,9781984806758,15,0,2021-09-05
9772,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,8,9781501161933,8,0,2021-09-05
9773,NINE PERFECT STRANGERS,Liane Moriarty,9,9781250069832,12,0,2021-09-05
9774,THE SONG OF ACHILLES,Madeline Miller,10,9780062060624,19,0,2021-09-05
9775,WHERE THE CRAWDADS SING,Delia Owens,11,9780735219106,144,0,2021-09-05
9776,THE MIDNIGHT LIBRARY,Matt Haig,12,9780525559474,38,0,2021-09-05
9777,THE PAPER PALACE,Miranda Cowley Heller,13,9780593329825,7,0,2021-09-05
9778,MALIBU RISING,Taylor Jenkins Reid,14,9781524798659,12,0,2021-09-05
9779,THE GUEST LIST,Lucy Foley,15,9780062868947,24,0,2021-09-05
9780,THE MADNESS OF CROWDS,Louise Penny,1,9781250145284,1,0,2021-09-12
9781,BILLY SUMMERS,Stephen King,2,9781982173616,4,0,2021-09-12
9782,IT ENDS WITH US,Colleen Hoover,3,9781501110368,11,0,2021-09-12
9783,THE LAST THING HE TOLD ME,Laura Dave,4,9781501171369,17,0,2021-09-12
9784,LIGHTNING STRIKE,William Kent Krueger,5,9781982128708,1,0,2021-09-12
9785,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,6,9781501161933,9,0,2021-09-12
9786,NINE PERFECT STRANGERS,Liane Moriarty,7,9781250069832,13,0,2021-09-12
9787,PEOPLE WE MEET ON VACATION,Emily Henry,8,9781984806758,16,0,2021-09-12
9788,THE MIDNIGHT LIBRARY,Matt Haig,9,9780525559474,39,0,2021-09-12
9789,THE LOVE SONGS OF W.E.B. DU BOIS,Honorée Fanonne Jeffers,10,9780062942937,1,0,2021-09-12
9790,WHERE THE CRAWDADS SING,Delia Owens,11,9780735219106,145,0,2021-09-12
9791,BOMBSHELL,Sarah MacLean,12,9780063055841,1,0,2021-09-12
9792,THE NOISE,James Patterson and J.D. Barker,13,9780316499873,2,0,2021-09-12
9793,THE PAPER PALACE,Miranda Cowley Heller,14,9780593329825,8,0,2021-09-12
9794,PROJECT HAIL MARY,Andy Weir,15,9780593135211,10,0,2021-09-12
9795,A SLOW FIRE BURNING,Paula Hawkins,1,9780735211254,1,0,2021-09-19
9796,IT ENDS WITH US,Colleen Hoover,2,9781501110368,12,0,2021-09-19
9797,BILLY SUMMERS,Stephen King,3,9781982173616,5,0,2021-09-19
9798,THE MADNESS OF CROWDS,Louise Penny,4,9781250145260,2,0,2021-09-19
9799,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,5,9781501161933,10,0,2021-09-19
9800,THE LAST THING HE TOLD ME,Laura Dave,6,9781501171369,18,0,2021-09-19
9801,MALIBU RISING,Taylor Jenkins Reid,7,9781524798666,13,0,2021-09-19
9802,PEOPLE WE MEET ON VACATION,Emily Henry,8,9781984806758,17,0,2021-09-19
9803,THE MIDNIGHT LIBRARY,Matt Haig,9,9780525559474,40,0,2021-09-19
9804,NINE PERFECT STRANGERS,Liane Moriarty,10,9781250069832,14,0,2021-09-19
9805,WHERE THE CRAWDADS SING,Delia Owens,11,9780735219106,146,0,2021-09-19
9806,THE HEART PRINCIPLE,Helen Hoang,12,9780451490858,1,0,2021-09-19
9807,THE PAPER PALACE,Miranda Cowley Heller,13,9780593329825,9,0,2021-09-19
9808,THE SONG OF ACHILLES,Madeline Miller,14,9780062060624,20,0,2021-09-19
9809,THE NOISE,James Patterson and J.D. Barker,15,9780316499873,3,0,2021-09-19
9810,FORGOTTEN IN DEATH,J.D. Robb,1,9781250272829,1,0,2021-09-26
9811,"BEAUTIFUL WORLD, WHERE ARE YOU",Sally Rooney,2,9780374602604,1,0,2021-09-26
9812,IT ENDS WITH US,Colleen Hoover,3,9781501110368,13,0,2021-09-26
9813,BILLY SUMMERS,Stephen King,4,9781982173616,6,0,2021-09-26
9814,A SLOW FIRE BURNING,Paula Hawkins,5,9780735211230,2,0,2021-09-26
9815,THE LAST THING HE TOLD ME,Laura Dave,6,9781501171369,19,0,2021-09-26
9816,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,7,9781501161933,11,0,2021-09-26
9817,THE NIGHT SHE DISAPPEARED,Lisa Jewell,8,9781982137380,1,0,2021-09-26
9818,THE MADNESS OF CROWDS,Louise Penny,9,9781250145260,3,0,2021-09-26
9819,THE HERON'S CRY,Ann Cleeves,10,9781250204493,1,0,2021-09-26
9820,MATRIX,Lauren Groff,11,9781594634499,1,0,2021-09-26
9821,THE MIDNIGHT LIBRARY,Matt Haig,12,9780525559474,41,0,2021-09-26
9822,PEOPLE WE MEET ON VACATION,Emily Henry,13,9781984806758,18,0,2021-09-26
9823,ROCK PAPER SCISSORS,Alice Feeney,14,9781250266101,1,0,2021-09-26
9824,NINE PERFECT STRANGERS,Liane Moriarty,15,9781250069832,15,0,2021-09-26
9825,APPLES NEVER FALL,Liane Moriarty,1,9781250220264,1,0,2021-10-03
9826,VINCE FLYNN: ENEMY AT THE GATES,Kyle Mills,2,9781982164904,1,0,2021-10-03
9827,HARLEM SHUFFLE,Colson Whitehead,3,9780385545136,1,0,2021-10-03
9828,"BEAUTIFUL WORLD, WHERE ARE YOU",Sally Rooney,4,9780374602604,2,0,2021-10-03
9829,IT ENDS WITH US,Colleen Hoover,5,9781501110368,14,0,2021-10-03
9830,THE LAST THING HE TOLD ME,Laura Dave,6,9781501171345,20,0,2021-10-03
9831,FORGOTTEN IN DEATH,J.D. Robb,7,9781250272812,2,0,2021-10-03
9832,BILLY SUMMERS,Stephen King,8,9781982173616,7,0,2021-10-03
9833,A SLOW FIRE BURNING,Paula Hawkins,9,9780735211230,3,0,2021-10-03
9834,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,10,9781501161933,12,0,2021-10-03
9835,THE LOVE HYPOTHESIS,Ali Hazelwood,11,9780593336830,1,0,2021-10-03
9836,THE MIDNIGHT LIBRARY,Matt Haig,12,9780525559474,42,0,2021-10-03
9837,THE WISDOM OF CROWDS,Joe Abercrombie,13,9780316341912,1,0,2021-10-03
9838,PEOPLE WE MEET ON VACATION,Emily Henry,14,9781984806758,19,0,2021-10-03
9839,EMPIRE OF THE VAMPIRE,Jay Kristoff,15,9781250245281,1,0,2021-10-03
9840,APPLES NEVER FALL,Liane Moriarty,1,9781250220257,2,0,2021-10-10
9841,THE JAILHOUSE LAWYER,James Patterson and Nancy Allen,2,9780316276627,1,0,2021-10-10
9842,DAUGHTER OF THE MORNING STAR,Craig Johnson,3,9780593297261,1,0,2021-10-10
9843,VINCE FLYNN: ENEMY AT THE GATES,Kyle Mills,4,9781982164881,2,0,2021-10-10
9844,HARLEM SHUFFLE,Colson Whitehead,5,9780385545136,2,0,2021-10-10
9845,IT ENDS WITH US,Colleen Hoover,6,9781501110368,15,0,2021-10-10
9846,BILLY SUMMERS,Stephen King,7,9781982173616,8,0,2021-10-10
9847,UNDER THE WHISPERING DOOR,TJ Klune,8,9781250217349,1,0,2021-10-10
9848,THE LAST THING HE TOLD ME,Laura Dave,9,9781501171345,21,0,2021-10-10
9849,"BEAUTIFUL WORLD, WHERE ARE YOU",Sally Rooney,10,9780374602604,3,0,2021-10-10
9850,BEWILDERMENT,Richard Powers,11,9780393881141,1,0,2021-10-10
9851,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,12,9781501161933,13,0,2021-10-10
9852,THE MIDNIGHT LIBRARY,Matt Haig,13,9780525559474,43,0,2021-10-10
9853,A SLOW FIRE BURNING,Paula Hawkins,14,9780735211230,4,0,2021-10-10
9854,WHERE THE CRAWDADS SING,Delia Owens,15,9780735219106,147,0,2021-10-10
9855,THE WISH,Nicholas Sparks,1,9781538728628,1,0,2021-10-17
9856,CLOUD CUCKOO LAND,Anthony Doerr,2,9781982168438,1,0,2021-10-17
9857,APPLES NEVER FALL,Liane Moriarty,3,9781250220257,3,0,2021-10-17
9858,THE LAST GRADUATE,Naomi Novik,4,9780593128879,1,0,2021-10-17
9859,THE MAN WHO DIED TWICE,Richard Osman,5,9781984880994,1,0,2021-10-17
9860,IT ENDS WITH US,Colleen Hoover,6,9781501110368,16,0,2021-10-17
9861,HARLEM SHUFFLE,Colson Whitehead,7,9780385545136,3,0,2021-10-17
9862,THE JAILHOUSE LAWYER,James Patterson and Nancy Allen,8,9780316276627,2,0,2021-10-17
9863,VINCE FLYNN: ENEMY AT THE GATES,Kyle Mills,9,9781982164881,3,0,2021-10-17
9864,THE LAST THING HE TOLD ME,Laura Dave,10,9781501171345,22,0,2021-10-17
9865,BEWILDERMENT,Richard Powers,11,9780393881141,2,0,2021-10-17
9866,THE SANTA SUIT,Mary Kay Andrews,12,9781250279316,1,0,2021-10-17
9867,MILE HIGH WITH A VAMPIRE,Lynsay Sands,13,9780062956361,1,0,2021-10-17
9868,BILLY SUMMERS,Stephen King,14,9781982173616,9,0,2021-10-17
9869,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,15,9781501161933,14,0,2021-10-17
9870,THE LINCOLN HIGHWAY,Amor Towles,1,9780735222359,1,0,2021-10-24
9871,THE WISH,Nicholas Sparks,2,9781538728628,2,0,2021-10-24
9872,CLOUD CUCKOO LAND,Anthony Doerr,3,9781982168438,2,0,2021-10-24
9873,APPLES NEVER FALL,Liane Moriarty,4,9781250220257,4,0,2021-10-24
9874,THE BUTLER,Danielle Steel,5,9781984821522,1,0,2021-10-24
9875,CROSSROADS,Jonathan Franzen,6,9780374181178,1,0,2021-10-24
9876,HARLEM SHUFFLE,Colson Whitehead,7,9780385545136,4,0,2021-10-24
9877,2 SISTERS DETECTIVE AGENCY,James Patterson and Candice Fox,8,9781538704608,1,0,2021-10-24
9878,FOUL PLAY,Stuart Woods,9,9780593331798,1,0,2021-10-24
9879,IT ENDS WITH US,Colleen Hoover,10,9781501110368,17,0,2021-10-24
9880,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,11,9781501173219,82,0,2021-10-24
9881,THE LAST THING HE TOLD ME,Laura Dave,12,9781501171345,23,0,2021-10-24
9882,THE LOVE HYPOTHESIS,Ali Hazelwood,13,9780593336823,2,0,2021-10-24
9883,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,14,9781501161933,15,0,2021-10-24
9884,THE JAILHOUSE LAWYER,James Patterson and Nancy Allen,15,9780316276627,3,0,2021-10-24
9885,STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,1,9781982173678,1,0,2021-10-31
9886,THE LINCOLN HIGHWAY,Amor Towles,2,9780735222359,2,0,2021-10-31
9887,THE WISH,Nicholas Sparks,3,9781538728628,3,0,2021-10-31
9888,APPLES NEVER FALL,Liane Moriarty,4,9781250220257,5,0,2021-10-31
9889,CLOUD CUCKOO LAND,Anthony Doerr,5,9781982168438,3,0,2021-10-31
9890,SILVERVIEW,John Le Carré,6,9780593490594,1,0,2021-10-31
9891,IT ENDS WITH US,Colleen Hoover,7,9781501110368,18,0,2021-10-31
9892,THE LAST THING HE TOLD ME,Laura Dave,8,9781501171345,24,0,2021-10-31
9893,THE BOOK OF MAGIC,Alice Hoffman,9,9781982151485,1,0,2021-10-31
9894,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,10,9781501161933,16,0,2021-10-31
9895,VERITY,Colleen Hoover,11,9781791392796,2,0,2021-10-31
9896,THE BUTLER,Danielle Steel,12,9781984821522,2,0,2021-10-31
9897,2 SISTERS DETECTIVE AGENCY,James Patterson and Candice Fox,13,9781538704585,2,0,2021-10-31
9898,HARLEM SHUFFLE,Colson Whitehead,14,9780385545136,5,0,2021-10-31
9899,THE LOVE HYPOTHESIS,Ali Hazelwood,15,9780593336823,3,0,2021-10-31
9900,THE JUDGE'S LIST,John Grisham,1,9780385546027,1,0,2021-11-07
9901,THE LINCOLN HIGHWAY,Amor Towles,2,9780735222359,3,0,2021-11-07
9902,THE WISH,Nicholas Sparks,3,9781538728628,4,0,2021-11-07
9903,STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,4,9781982173678,2,0,2021-11-07
9904,IT ENDS WITH US,Colleen Hoover,5,9781501110368,19,0,2021-11-07
9905,DUNE,Frank Herbert,6,9781101658055,1,0,2021-11-07
9906,APPLES NEVER FALL,Liane Moriarty,7,9781250220257,6,0,2021-11-07
9907,DEAR SANTA,Debbie Macomber,8,9781984818812,1,0,2021-11-07
9908,CLOUD CUCKOO LAND,Anthony Doerr,9,9781982168438,4,0,2021-11-07
9909,OH WILLIAM!,Elizabeth Strout,10,9780812989434,1,0,2021-11-07
9910,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,11,9781501161933,17,0,2021-11-07
9911,THE LAST THING HE TOLD ME,Laura Dave,12,9781501171345,25,0,2021-11-07
9912,THE LOVE HYPOTHESIS,Ali Hazelwood,13,9780593336823,4,0,2021-11-07
9913,SILVERVIEW,John Le Carré,14,9780593490594,2,0,2021-11-07
9914,OVER MY DEAD BODY,Jeffrey Archer,15,9780008476380,1,0,2021-11-07
9915,BETTER OFF DEAD,Lee Child and Andrew Child,1,9781984818515,1,0,2021-11-14
9916,THE JUDGE'S LIST,John Grisham,2,9780385546027,2,0,2021-11-14
9917,DUNE,Frank Herbert,3,9781101658055,2,0,2021-11-14
9918,THE LINCOLN HIGHWAY,Amor Towles,4,9780735222359,4,0,2021-11-14
9919,THE WISH,Nicholas Sparks,5,9781538728628,5,0,2021-11-14
9920,IT ENDS WITH US,Colleen Hoover,6,9781501110368,20,0,2021-11-14
9921,APPLES NEVER FALL,Liane Moriarty,7,9781250220257,7,0,2021-11-14
9922,STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,8,9781982173678,3,0,2021-11-14
9923,CLOUD CUCKOO LAND,Anthony Doerr,9,9781982168438,5,0,2021-11-14
9924,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,10,9781501161933,18,0,2021-11-14
9925,ARCHANGEL'S LIGHT,Nalini Singh,11,9780593198155,1,0,2021-11-14
9926,FORGIVING PARIS,Karen Kingsbury,12,9781982104412,1,0,2021-11-14
9927,THE LAST THING HE TOLD ME,Laura Dave,13,9781501171345,26,0,2021-11-14
9928,THE LOVE HYPOTHESIS,Ali Hazelwood,14,9780593336823,5,0,2021-11-14
9929,THE MIDNIGHT LIBRARY,Matt Haig,15,9780525559474,44,0,2021-11-14
9930,GAME ON,Janet Evanovich,1,9781982154905,1,0,2021-11-21
9931,THE JUDGE'S LIST,John Grisham,2,9780385546027,3,0,2021-11-21
9932,THE STRANGER IN THE LIFEBOAT,Mitch Albom,3,9780062888341,1,0,2021-11-21
9933,BETTER OFF DEAD,Lee Child and Andrew Child,4,9781984818508,2,0,2021-11-21
9934,THE LINCOLN HIGHWAY,Amor Towles,5,9780735222359,5,0,2021-11-21
9935,DUNE,Frank Herbert,6,9781101658055,3,0,2021-11-21
9936,THE WISH,Nicholas Sparks,7,9781538728628,6,0,2021-11-21
9937,IT ENDS WITH US,Colleen Hoover,8,9781501110368,21,0,2021-11-21
9938,APPLES NEVER FALL,Liane Moriarty,9,9781250220257,8,0,2021-11-21
9939,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,10,9781501161933,19,0,2021-11-21
9940,CLOUD CUCKOO LAND,Anthony Doerr,11,9781982168438,6,0,2021-11-21
9941,STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,12,9781982173678,4,0,2021-11-21
9942,OUR COUNTRY FRIENDS,Gary Shteyngart,13,9781984855121,1,0,2021-11-21
9943,THE ATTIC ON QUEEN STREET,Karen White,14,9780698193024,1,0,2021-11-21
9944,THE LOVE HYPOTHESIS,Ali Hazelwood,15,9780593336823,6,0,2021-11-21
9945,THE DARK HOURS,Michael Connelly,1,9780316256568,1,0,2021-11-28
9946,THE JUDGE'S LIST,John Grisham,2,9780385546027,4,0,2021-11-28
9947,THE STRANGER IN THE LIFEBOAT,Mitch Albom,3,9780062888341,2,0,2021-11-28
9948,NEVER,Ken Follett,4,9780593300022,1,0,2021-11-28
9949,BETTER OFF DEAD,Lee Child and Andrew Child,5,9781984818508,3,0,2021-11-28
9950,THE WISH,Nicholas Sparks,6,9781538728628,7,0,2021-11-28
9951,GAME ON,Janet Evanovich,7,9781982154875,2,0,2021-11-28
9952,THE LINCOLN HIGHWAY,Amor Towles,8,9780735222359,6,0,2021-11-28
9953,DARK TAROT,Christine Feehan,9,9780593333198,1,0,2021-11-28
9954,IT ENDS WITH US,Colleen Hoover,10,9781501110368,22,0,2021-11-28
9955,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,11,9781501161933,20,0,2021-11-28
9956,THE SENTENCE,Louise Erdrich,12,9780062671127,1,0,2021-11-28
9957,DUNE,Frank Herbert,13,9781101658055,4,0,2021-11-28
9958,CLOUD CUCKOO LAND,Anthony Doerr,14,9781982168438,7,0,2021-11-28
9959,APPLES NEVER FALL,Liane Moriarty,15,9781250220257,9,0,2021-11-28
9960,MERCY,David Baldacci,1,9781538719695,1,0,2021-12-05
9961,THE JUDGE'S LIST,John Grisham,2,9780385546027,5,0,2021-12-05
9962,THE DARK HOURS,Michael Connelly,3,9780316485647,2,0,2021-12-05
9963,THE STRANGER IN THE LIFEBOAT,Mitch Albom,4,9780062888341,3,0,2021-12-05
9964,THE LINCOLN HIGHWAY,Amor Towles,5,9780735222359,7,0,2021-12-05
9965,CLIVE CUSSLER'S THE DEVIL'S SEA,Dirk Cussler,6,9780593419656,1,0,2021-12-05
9966,TOM CLANCY: CHAIN OF COMMAND,Marc Cameron,7,9780593188187,1,0,2021-12-05
9967,THE WISH,Nicholas Sparks,8,9781538728628,8,0,2021-12-05
9968,BETTER OFF DEAD,Lee Child and Andrew Child,9,9781984818508,4,0,2021-12-05
9969,IT ENDS WITH US,Colleen Hoover,10,9781501110368,23,0,2021-12-05
9970,TERMINATION SHOCK,Neal Stephenson,11,9780063028074,1,0,2021-12-05
9971,GAME ON,Janet Evanovich,12,9781982154875,3,0,2021-12-05
9972,NEVER,Ken Follett,13,9780593300015,2,0,2021-12-05
9973,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,14,9781501161933,21,0,2021-12-05
9974,GUILD BOSS,Jayne Castle,15,9780593337011,1,0,2021-12-05
9975,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,1,9781101885680,1,0,2021-12-12
9976,THE BECOMING,Nora Roberts,2,9781250272713,1,0,2021-12-12
9977,FEAR NO EVIL,James Patterson,3,9780316499163,1,0,2021-12-12
9978,THE JUDGE'S LIST,John Grisham,4,9780385546027,6,0,2021-12-12
9979,THE WISH,Nicholas Sparks,5,9781538728628,9,0,2021-12-12
9980,FLYING ANGELS,Danielle Steel,6,9781984821553,1,0,2021-12-12
9981,IT ENDS WITH US,Colleen Hoover,7,9781501110368,24,0,2021-12-12
9982,THE STRANGER IN THE LIFEBOAT,Mitch Albom,8,9780062888341,4,0,2021-12-12
9983,MERCY,David Baldacci,9,9781538719725,2,0,2021-12-12
9984,THE LINCOLN HIGHWAY,Amor Towles,10,9780735222359,8,0,2021-12-12
9985,THE DARK HOURS,Michael Connelly,11,9780316485647,3,0,2021-12-12
9986,THE CHRISTMAS PROMISE,Richard Paul Evans,12,9781982177423,1,0,2021-12-12
9987,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,13,9781501161933,22,0,2021-12-12
9988,STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,14,9781982173678,5,0,2021-12-12
9989,PROJECT HAIL MARY,Andy Weir,15,9780593135211,11,0,2021-12-12
9990,WISH YOU WERE HERE,Jodi Picoult,1,9781984818416,1,0,2021-12-19
9991,LEVIATHAN FALLS,James S.A. Corey,2,9780316332934,1,0,2021-12-19
9992,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,3,9781101885680,2,0,2021-12-19
9993,AUTOPSY,Patricia Cornwell,4,9780063112223,1,0,2021-12-19
9994,THE JUDGE'S LIST,John Grisham,5,9780385546027,7,0,2021-12-19
9995,THE LINCOLN HIGHWAY,Amor Towles,6,9780735222359,9,0,2021-12-19
9996,FEAR NO EVIL,James Patterson,7,9780316499149,2,0,2021-12-19
9997,THE WISH,Nicholas Sparks,8,9781538728628,10,0,2021-12-19
9998,IT ENDS WITH US,Colleen Hoover,9,9781501110368,25,0,2021-12-19
9999,THE STRANGER IN THE LIFEBOAT,Mitch Albom,10,9780062888341,5,0,2021-12-19
10000,THE DARK HOURS,Michael Connelly,11,9780316485647,4,0,2021-12-19
10001,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,12,9781501161933,23,0,2021-12-19
10002,MERCY,David Baldacci,13,9781538719725,3,0,2021-12-19
10003,THE BECOMING,Nora Roberts,14,9781250272706,2,0,2021-12-19
10004,CLOUD CUCKOO LAND,Anthony Doerr,15,9781982168438,8,0,2021-12-19
10005,CALL US WHAT WE CARRY,Amanda Gorman,1,9780593465066,1,0,2021-12-26
10006,THE JUDGE'S LIST,John Grisham,2,9780385546027,8,0,2021-12-26
10007,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,3,9781101885680,3,0,2021-12-26
10008,THE LINCOLN HIGHWAY,Amor Towles,4,9780735222359,10,0,2021-12-26
10009,WISH YOU WERE HERE,Jodi Picoult,5,9781984818416,2,0,2021-12-26
10010,IT ENDS WITH US,Colleen Hoover,6,9781501110368,26,0,2021-12-26
10011,THE STRANGER IN THE LIFEBOAT,Mitch Albom,7,9780062888341,6,0,2021-12-26
10012,THE WISH,Nicholas Sparks,8,9781538728628,11,0,2021-12-26
10013,FEAR NO EVIL,James Patterson,9,9780316499149,3,0,2021-12-26
10014,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,10,9781501161933,24,0,2021-12-26
10015,CLOUD CUCKOO LAND,Anthony Doerr,11,9781982168438,9,0,2021-12-26
10016,THE DARK HOURS,Michael Connelly,12,9780316485647,5,0,2021-12-26
10017,MERCY,David Baldacci,13,9781538719725,4,0,2021-12-26
10018,AUTOPSY,Patricia Cornwell,14,9780063112193,2,0,2021-12-26
10019,THE MIDNIGHT LIBRARY,Matt Haig,15,9780525559474,45,0,2021-12-26
10020,CALL US WHAT WE CARRY,Amanda Gorman,1,9780593465066,2,0,2022-01-02
10021,THE JUDGE'S LIST,John Grisham,2,9780385546027,9,0,2022-01-02
10022,THE LINCOLN HIGHWAY,Amor Towles,3,9780735222359,11,0,2022-01-02
10023,IT ENDS WITH US,Colleen Hoover,4,9781501110368,27,0,2022-01-02
10024,THE STRANGER IN THE LIFEBOAT,Mitch Albom,5,9780062888341,7,0,2022-01-02
10025,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,6,9781101885680,4,0,2022-01-02
10026,THE WISH,Nicholas Sparks,7,9781538728628,12,0,2022-01-02
10027,WISH YOU WERE HERE,Jodi Picoult,8,9781984818416,3,0,2022-01-02
10028,FEAR NO EVIL,James Patterson,9,9780316499149,4,0,2022-01-02
10029,CLOUD CUCKOO LAND,Anthony Doerr,10,9781982168438,10,0,2022-01-02
10030,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,11,9781501161933,25,0,2022-01-02
10031,THE MIDNIGHT LIBRARY,Matt Haig,12,9780525559474,46,0,2022-01-02
10032,THE LAST THING HE TOLD ME,Laura Dave,13,9781501171345,27,0,2022-01-02
10033,VERITY,Colleen Hoover,14,9781538724736,3,0,2022-01-02
10034,WHERE THE CRAWDADS SING,Delia Owens,15,9780735219106,148,0,2022-01-02
10035,THE JUDGE'S LIST,John Grisham,1,9780385546027,10,0,2022-01-09
10036,THE STRANGER IN THE LIFEBOAT,Mitch Albom,2,9780062888341,8,0,2022-01-09
10037,IT ENDS WITH US,Colleen Hoover,3,9781501110368,28,0,2022-01-09
10038,THE LINCOLN HIGHWAY,Amor Towles,4,9780735222359,12,0,2022-01-09
10039,CALL US WHAT WE CARRY,Amanda Gorman,5,9780593465066,3,0,2022-01-09
10040,THE WISH,Nicholas Sparks,6,9781538728628,13,0,2022-01-09
10041,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,7,9781101885680,5,0,2022-01-09
10042,WISH YOU WERE HERE,Jodi Picoult,8,9781984818416,4,0,2022-01-09
10043,CLOUD CUCKOO LAND,Anthony Doerr,9,9781982168438,11,0,2022-01-09
10044,THE MIDNIGHT LIBRARY,Matt Haig,10,9780525559474,47,0,2022-01-09
10045,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,11,9781501161933,26,0,2022-01-09
10046,FEAR NO EVIL,James Patterson,12,9780316499149,5,0,2022-01-09
10047,BILLY SUMMERS,Stephen King,13,9781982173616,10,0,2022-01-09
10048,THE SONG OF ACHILLES,Madeline Miller,14,9780062060624,21,0,2022-01-09
10049,THE LAST THING HE TOLD ME,Laura Dave,15,9781501171345,28,0,2022-01-09
10050,IT ENDS WITH US,Colleen Hoover,1,9781501110368,29,0,2022-01-16
10051,VERITY,Colleen Hoover,2,9781538724736,4,0,2022-01-16
10052,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,3,9781501161933,27,0,2022-01-16
10053,ANNIHILATION ROAD,Christine Feehan,4,9780593333211,1,0,2022-01-16
10054,THE JUDGE'S LIST,John Grisham,5,9780385546027,11,0,2022-01-16
10055,THE LINCOLN HIGHWAY,Amor Towles,6,9780735222359,13,0,2022-01-16
10056,CRIMINAL MISCHIEF,Stuart Woods,7,9780593331736,1,0,2022-01-16
10057,THE LOVE HYPOTHESIS,Ali Hazelwood,8,9780593336823,7,0,2022-01-16
10058,WISH YOU WERE HERE,Jodi Picoult,9,9781984818416,5,0,2022-01-16
10059,THE MIDNIGHT LIBRARY,Matt Haig,10,9780525559474,48,0,2022-01-16
10060,THE DARK HOURS,Michael Connelly,11,9780316256568,6,0,2022-01-16
10061,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,12,9781101885680,6,0,2022-01-16
10062,CLOUD CUCKOO LAND,Anthony Doerr,13,9781982168438,12,0,2022-01-16
10063,THE SONG OF ACHILLES,Madeline Miller,14,9780062060624,22,0,2022-01-16
10064,THE STRANGER IN THE LIFEBOAT,Mitch Albom,15,9780062888341,9,0,2022-01-16
10065,IT ENDS WITH US,Colleen Hoover,1,9781501110368,30,0,2022-01-23
10066,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,2,9781501161933,28,0,2022-01-23
10067,VERITY,Colleen Hoover,3,9781538724736,5,0,2022-01-23
10068,INVISIBLE,Danielle Steel,4,9781984821591,1,0,2022-01-23
10069,THE SONG OF ACHILLES,Madeline Miller,5,9780062060624,23,0,2022-01-23
10070,THE LINCOLN HIGHWAY,Amor Towles,6,9780735222359,14,0,2022-01-23
10071,UGLY LOVE,Colleen Hoover,7,9781476753188,2,0,2022-01-23
10072,THE JUDGE'S LIST,John Grisham,8,9780385546027,12,0,2022-01-23
10073,THE MIDNIGHT LIBRARY,Matt Haig,9,9780525559474,49,0,2022-01-23
